"region";"subregion";"key";"value"
"Europe";"Western Europe";"Alemania";4.5
"Americas";"South America";"Argentina";6.6
"Oceania";"Australia and New Zealand";"Australia";5.8
"Americas";"South America";"Brazil";8.9
"Americas";"Northern America";"Canada";7.2
"Asia";"Eastern Asia";"China";4.1
"Europe";"Southern Europe";"España";20.8
"Americas";"Northern America";"Estados Unidos";5
"Europe";"Western Europe";"Francia";10.2
"Europe";"Southern Europe";"Grecia";24
"Europe";"Southern Europe";"Italia";11.6
"Asia";"Eastern Asia";"Japon";3.3
"Americas";"Central America";"Mexico";4
"Europe";"Southern Europe";"Portugal";12.1
"Europe";"Northern Europe";"Reino Unido";5.1
"Europe";"Eastern Europe";"Rusia";5.8
"Asia";"Western Asia";"Turquia";10.2
"Africa";"Southern Africa";"Sudafrica";24.5
